Sample 1,,,,Sample 2,,,,Sample 3,,,,Sample 4,,,,Sample 5,,,,Sample 6,,,,Sample 7,,,,Sample 8,,,,Sample 9,,,,Sample 10,,,,Sample 11,,,,Sample 12,,,
Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event,Load,Displacement,Time,Event
N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,,N,mm,sec,
-0.007,-1.00,0.0000,0,0.544,-54.65,0.0000,0,0.000,-1.00,0.0000,0,0.559,-54.59,0.0000,0,0.007,-1.00,0.0000,0,0.992,-54.64,0.0000,0,0.000,-1.00,0.0000,0,0.529,-54.47,0.0000,0,0.000,-0.99,0.0000,0,0.753,-54.51,0.0000,0,-0.007,-1.00,0.0000,0,0.544,-54.48,0.0000,0
0.000,-1.00,0.0040,0,0.537,-54.65,0.0040,0,0.007,-1.00,0.0040,0,0.552,-54.59,0.0040,0,0.000,-1.00,0.0040,0,0.992,-54.64,0.0040,0,0.000,-1.00,0.0040,0,0.529,-54.47,0.0040,0,-0.030,-0.99,0.0040,0,0.753,-54.51,0.0040,0,-0.007,-1.00,0.0040,0,0.544,-54.48,0.0040,0
0.000,-1.00,0.0080,0,0.537,-54.65,0.0080,0,0.007,-1.00,0.0080,0,0.552,-54.59,0.0080,0,0.000,-1.00,0.0080,0,0.992,-54.64,0.0080,0,0.000,-1.00,0.0080,0,0.529,-54.47,0.0080,0,-0.007,-0.99,0.0080,0,0.753,-54.51,0.0080,0,-0.015,-1.00,0.0080,0,0.552,-54.48,0.0080,0
0.000,-1.00,0.0120,0,0.537,-54.65,0.0120,0,0.007,-1.00,0.0120,0,0.552,-54.59,0.0120,0,0.007,-1.00,0.0120,0,0.984,-54.64,0.0120,0,0.000,-1.00,0.0120,0,0.522,-54.47,0.0120,0,-0.015,-0.99,0.0120,0,0.753,-54.51,0.0120,0,0.000,-1.00,0.0120,0,0.544,-54.48,0.0120,0
0.000,-1.00,0.0160,0,0.537,-54.65,0.0160,0,0.007,-1.00,0.0160,0,0.552,-54.59,0.0160,0,0.007,-1.00,0.0160,0,0.992,-54.64,0.0160,0,0.000,-1.00,0.0160,0,0.529,-54.47,0.0160,0,-0.022,-0.99,0.0160,0,0.753,-54.51,0.0160,0,-0.007,-1.00,0.0160,0,0.544,-54.48,0.0160,0
0.007,-1.00,0.0200,0,0.544,-54.65,0.0200,0,0.007,-1.00,0.0200,0,0.552,-54.59,0.0200,0,0.007,-1.00,0.0200,0,0.992,-54.64,0.0200,0,0.000,-1.00,0.0200,0,0.529,-54.47,0.0200,0,-0.022,-0.99,0.0200,0,0.753,-54.51,0.0200,0,0.000,-1.00,0.0200,0,0.552,-54.48,0.0200,0
0.000,-1.00,0.0240,0,0.537,-54.65,0.0240,0,0.022,-1.00,0.0240,0,0.552,-54.59,0.0240,0,0.007,-1.00,0.0240,0,0.992,-54.64,0.0240,0,0.007,-1.00,0.0240,0,0.529,-54.47,0.0240,0,-0.015,-0.99,0.0240,0,0.753,-54.51,0.0240,0,0.000,-1.00,0.0240,0,0.544,-54.48,0.0240,0
0.000,-1.00,0.0280,0,0.544,-54.65,0.0280,0,0.015,-1.00,0.0280,0,0.552,-54.59,0.0280,0,0.015,-1.00,0.0280,0,0.992,-54.64,0.0280,0,0.000,-1.00,0.0280,0,0.529,-54.47,0.0280,0,-0.007,-0.99,0.0280,0,0.753,-54.51,0.0280,0,0.000,-1.00,0.0280,0,0.552,-54.48,0.0280,0
0.007,-1.00,0.0320,0,0.544,-54.65,0.0320,0,0.015,-1.00,0.0320,0,0.552,-54.59,0.0320,0,0.007,-1.00,0.0320,0,0.992,-54.64,0.0320,0,0.007,-1.00,0.0320,0,0.522,-54.47,0.0320,0,-0.022,-0.99,0.0320,0,0.753,-54.51,0.0320,0,0.000,-1.00,0.0320,0,0.544,-54.48,0.0320,0
